town,flat_type,flat_model,floor_area_sqm,street_name,resale_price,month,remaining_lease,lease_commence_date,storey_range,_id,block,time,lease_years,lease_years_int,size_sqft,cost_psf,days_ago,storey_min,storey_max,storey_mid,full_name,group_count,group_storey_min,group_storey_max,storey_rank,group_cost_psf_max,group_cost_psf_max_date,year
SENGKANG,4 ROOM,Model A,91.0,RIVERVALE DR,471000.0,2013-01,,2001,13 TO 15,21064,197,2013-01-01,87.49178082191781,87,979.5149,480.85026577952,-3532,13,15,14.0,RIVERVALE DR 2001,1096,2,18,0.75,541.7168419897024,2022-02-01,2013
SENGKANG,4 ROOM,Model A,95.0,RIVERVALE DR,475000.0,2013-01,,2000,13 TO 15,21065,116A,2013-01-01,86.48904109589041,86,1022.5705,464.5156495322328,-3532,13,15,14.0,RIVERVALE DR 2000,1769,2,20,0.6666666666666666,494.40622176300246,2022-06-01,2013
SENGKANG,4 ROOM,Model A,90.0,ANCHORVALE DR,478000.0,2013-01,,2002,07 TO 09,21066,319C,2013-01-01,88.49178082191781,88,968.751,493.4188455031272,-3532,7,9,8.0,ANCHORVALE DR 2002,848,2,15,0.4615384615384615,531.6123544646664,2013-01-01,2013
SENGKANG,4 ROOM,Model A,90.0,COMPASSVALE RD,479000.0,2013-01,,2000,16 TO 18,21067,203E,2013-01-01,86.48904109589041,86,968.751,494.4511025020877,-3532,16,18,17.0,COMPASSVALE RD 2000,926,2,18,0.9375,521.2897844750612,2022-08-01,2013
SENGKANG,5 ROOM,Premium Apartment,110.0,RIVERVALE CRES,510000.0,2013-01,,2003,01 TO 03,21091,158B,2013-01-01,89.49178082191781,89,1184.029,430.7326932026158,-3532,2,3,2.5,RIVERVALE CRES 2003,1308,2,20,0.0277777777777777,494.1655846087583,2012-03-01,2013
SENGKANG,4 ROOM,Model A2,87.0,RIVERVALE CRES,432000.0,2013-01,,2000,13 TO 15,21048,185D,2013-01-01,86.48904109589041,86,936.4593,461.3120933285622,-3532,13,15,14.0,RIVERVALE CRES 2000,346,2,18,0.75,503.86285749261015,2022-07-01,2013
SENGKANG,4 ROOM,Model A2,85.0,COMPASSVALE RD,430000.0,2013-01,,2000,01 TO 03,21047,247,2013-01-01,86.48904109589041,86,914.9315,469.9805395267296,-3532,2,3,2.5,COMPASSVALE RD 2000,926,2,18,0.03125,521.2897844750612,2022-08-01,2013
SENGKANG,4 ROOM,Model A,91.0,RIVERVALE DR,471000.0,2013-01,,2001,16 TO 18,21063,186D,2013-01-01,87.49178082191781,87,979.5149,480.85026577952,-3532,16,18,17.0,RIVERVALE DR 2001,1096,2,18,0.9375,541.7168419897024,2022-02-01,2013
SENGKANG,4 ROOM,Model A,90.0,ANCHORVALE LINK,470000.0,2013-01,,2002,13 TO 15,21062,306A,2013-01-01,88.49178082191781,88,968.751,485.1607895114431,-3532,13,15,14.0,ANCHORVALE LINK 2002,446,2,18,0.75,506.7443449442539,2021-12-01,2013
SENGKANG,4 ROOM,Model A,90.0,ANCHORVALE RD,459000.0,2013-01,,2001,01 TO 03,21058,307C,2013-01-01,87.49178082191781,87,968.751,473.8059625228774,-3532,2,3,2.5,ANCHORVALE RD 2001,355,2,18,0.03125,505.8059294906535,2013-02-01,2013
SENGKANG,5 ROOM,Improved,110.0,RIVERVALE DR,461000.0,2013-01,,2000,01 TO 03,21060,187B,2013-01-01,86.48904109589041,86,1184.029,389.3485716988351,-3532,2,3,2.5,RIVERVALE DR 2000,1769,2,20,0.0277777777777777,494.40622176300246,2022-06-01,2013
SENGKANG,5 ROOM,Improved,115.0,RIVERVALE DR,460000.0,2013-01,,2000,04 TO 06,21059,188B,2013-01-01,86.48904109589041,86,1237.8485,371.61251962578615,-3532,4,6,5.0,RIVERVALE DR 2000,1769,2,20,0.1666666666666666,494.40622176300246,2022-06-01,2013
SENGKANG,4 ROOM,Model A,90.0,SENGKANG EAST RD,446000.0,2013-01,,2001,04 TO 06,21057,200A,2013-01-01,87.49178082191781,87,968.751,460.3866215363907,-3532,4,6,5.0,SENGKANG EAST RD 2001,358,2,18,0.1875,498.81834365153605,2013-04-01,2013
SENGKANG,4 ROOM,Model A2,86.0,ANCHORVALE LINK,446000.0,2013-01,,2001,01 TO 03,21056,303B,2013-01-01,87.49178082191781,87,925.6954,481.7999527706414,-3532,2,3,2.5,ANCHORVALE LINK 2001,866,2,20,0.0277777777777777,505.5023244909592,2012-10-01,2013
SENGKANG,4 ROOM,Model A,95.0,RIVERVALE DR,440000.0,2013-01,,2000,04 TO 06,21054,116C,2013-01-01,86.48904109589041,86,1022.5705,430.2881806193314,-3532,4,6,5.0,RIVERVALE DR 2000,1769,2,20,0.1666666666666666,494.40622176300246,2022-06-01,2013
SENGKANG,5 ROOM,Improved,110.0,ANCHORVALE RD,440000.0,2013-01,,2001,01 TO 03,21053,307A,2013-01-01,87.49178082191781,87,1184.029,371.6125196257862,-3532,2,3,2.5,ANCHORVALE RD 2001,355,2,18,0.03125,505.8059294906535,2013-02-01,2013
SENGKANG,4 ROOM,Model A,90.0,COMPASSVALE CRES,438000.0,2013-01,,2002,10 TO 12,21052,295A,2013-01-01,88.49178082191781,88,968.751,452.1285655447065,-3532,10,12,11.0,COMPASSVALE CRES 2002,614,2,15,0.6923076923076923,474.8382195218379,2022-01-01,2013
SENGKANG,4 ROOM,Model A,100.0,RIVERVALE ST,434000.0,2013-01,,1999,01 TO 03,21051,132,2013-01-01,85.48904109589041,85,1076.39,403.1995837939781,-3532,2,3,2.5,RIVERVALE ST 1999,1073,2,20,0.0277777777777777,469.7349264932691,2013-03-01,2013
SENGKANG,4 ROOM,Model A,100.0,RIVERVALE WALK,433000.0,2013-01,,1999,04 TO 06,21050,106,2013-01-01,85.48904109589041,85,1076.39,402.2705524949136,-3532,4,6,5.0,RIVERVALE WALK 1999,782,2,20,0.1666666666666666,531.7903298093147,2022-08-01,2013
SENGKANG,4 ROOM,Model A2,85.0,RIVERVALE CRES,432000.0,2013-01,,2003,13 TO 15,21049,183D,2013-01-01,89.49178082191781,89,914.9315,472.1664955245284,-3532,13,15,14.0,RIVERVALE CRES 2003,1308,2,20,0.6666666666666666,494.1655846087583,2012-03-01,2013
SENGKANG,4 ROOM,Model A,92.0,RIVERVALE DR,462000.0,2013-01,,2001,16 TO 18,21061,195,2013-01-01,87.49178082191781,87,990.2788,466.5352827910685,-3532,16,18,17.0,RIVERVALE DR 2001,1096,2,18,0.9375,541.7168419897024,2022-02-01,2013
SENGKANG,4 ROOM,Premium Apartment,101.0,RIVERVALE DR,441500.0,2013-01,,2001,01 TO 03,21055,120C,2013-01-01,87.49178082191781,87,1087.1539,406.1062559771896,-3532,2,3,2.5,RIVERVALE DR 2001,1096,2,18,0.03125,541.7168419897024,2022-02-01,2013
SENGKANG,5 ROOM,Improved,115.0,RIVERVALE DR,486500.0,2013-01,,1999,01 TO 03,21073,123D,2013-01-01,85.48904109589041,85,1237.8485,393.0206321694456,-3532,2,3,2.5,RIVERVALE DR 1999,911,2,20,0.0277777777777777,502.3650728274517,2022-08-01,2013
SENGKANG,4 ROOM,Model A,91.0,ANCHORVALE DR,485000.0,2013-01,,2002,07 TO 09,21069,322C,2013-01-01,88.49178082191781,88,979.5149,495.1430549958964,-3532,7,9,8.0,ANCHORVALE DR 2002,848,2,15,0.4615384615384615,531.6123544646664,2013-01-01,2013
SENGKANG,5 ROOM,Improved,115.0,COMPASSVALE RD,510000.0,2013-01,,2000,01 TO 03,21090,245,2013-01-01,86.48904109589041,86,1237.8485,412.0051848025021,-3532,2,3,2.5,COMPASSVALE RD 2000,926,2,18,0.03125,521.2897844750612,2022-08-01,2013
SENGKANG,5 ROOM,Improved,111.0,RIVERVALE DR,510000.0,2013-01,,2001,10 TO 12,21092,193,2013-01-01,87.49178082191781,87,1194.7929,426.8522184890788,-3532,10,12,11.0,RIVERVALE DR 2001,1096,2,18,0.5625,541.7168419897024,2022-02-01,2013
SENGKANG,4 ROOM,Premium Apartment,95.0,FERNVALE RD,512000.0,2013-01,,2004,07 TO 09,21093,408A,2013-01-01,90.4917808219178,90,1022.5705,500.6989738115856,-3532,7,9,8.0,FERNVALE RD 2004,676,2,27,0.24,541.4187959547913,2013-06-01,2013
SENGKANG,5 ROOM,Improved,116.0,RIVERVALE CRES,505000.0,2013-01,,1999,04 TO 06,21089,142,2013-01-01,85.48904109589041,85,1248.6124,404.4489707134096,-3532,4,6,5.0,RIVERVALE CRES 1999,292,2,20,0.1666666666666666,488.6016461746449,2022-01-01,2013
